"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YJL052W",13754.5429438026,5.37456945003416,0.190908922612398,28.1525314610158,2.23134813504849e-174,1.41110456060466e-170
"YGL055W",2398.2134319302,4.66511342042471,0.184463225591484,25.2902084166964,4.09354421968561e-141,1.29437868226459e-137
"YIR019C",10125.3892944473,-5.41736478314885,0.217227977941369,-24.9386144201509,2.83800951955832e-137,5.98252406722894e-134
"YGR087C",528.551088072972,5.03363112115894,0.204817727682042,24.5761496239873,2.2728522337744e-133,3.59337938159732e-130
"YHR094C",676.343272017667,5.02471566367826,0.206488833252648,24.3340794004599,8.54704992871254e-131,1.08103087498356e-127
"YNR073C",1995.67888815027,-8.21756062805164,0.349839638322418,-23.4895069851353,5.22138518226757e-122,5.50333998211001e-119
"YCR012W",3935.21648897136,4.86743145856946,0.214802363946978,22.660046049451,1.11064316345704e-113,1.00338676652891e-110
"YNR071C",1164.33268934285,-9.02199991867927,0.401995541693408,-22.4430347676844,1.49674578873545e-111,1.18317754599537e-108
"YNR072W",923.649435463626,-5.58192781555753,0.25118891419311,-22.2220309104335,2.10340156579977e-109,1.47799016690197e-106
"YKL164C",364.105815535257,-3.99768534509629,0.184128381240059,-21.7114022193259,1.60098219103943e-104,1.01246113761334e-101
"YJR152W",1299.91697434514,3.43957007976999,0.158832791918119,21.6552894287921,5.41897828904853e-104,3.11541988181299e-101
"YAL038W",1617.93650195678,3.33141017176669,0.165893949289179,20.0815652773419,1.0697052476633e-89,5.63734665518557e-87
"YOR273C",434.578949886198,4.00283717845586,0.202812564029708,19.7366331696764,1.04514418549055e-86,5.08422448387862e-84
"YJL158C",245.149334884689,-4.33243416861033,0.222765827672627,-19.4483786578667,3.00792347339396e-84,1.35872200326739e-81
"YGR088W",725.24455131415,4.41893533407026,0.229252571232634,19.2754014068883,8.64272827147173e-83,3.64377423925248e-80
"YPL106C",1652.59254754251,-3.26508703188987,0.174266300325035,-18.7361929747746,2.50953272280355e-78,9.91892808688104e-76
"YGR125W",1017.68375358795,2.38306011050559,0.132128689302088,18.0359021427751,1.01820073776249e-72,3.78770674447646e-70
"YPL095C",396.512062199879,3.83211082330208,0.215811806643008,17.7567246338894,1.52900804840295e-70,5.37191494338903e-68
"YGR060W",505.902580206318,2.86288118594238,0.164659605710037,17.3866636786674,1.04121509252099e-67,3.4656022342646e-65
"YHR174W",752.982441277941,3.48728234044774,0.201903330075544,17.272039738735,7.63939250927759e-67,2.41557591143357e-64
"YJL212C",251.527899010638,5.16304696686972,0.300101631465909,17.2043282192428,2.46417883146467e-66,7.42069853818218e-64
"YER103W",1564.42266435057,-4.66163151285475,0.27546058863137,-16.9230434597419,3.04291712648635e-64,8.74700359449984e-62
"YNR034W-A",5660.89258471014,-6.46927331892397,0.383198474901349,-16.882304452254,6.07273101972814e-64,1.66973699864177e-61
"YMR145C",428.907120211307,-3.28703579857921,0.194979255316911,-16.8583872845171,9.10393947953636e-64,2.39888805285783e-61
"YKR075C",307.727595645931,-3.28970944755507,0.19736786201825,-16.6679084118106,2.24307153578048e-62,5.67407375691031e-60
"YNL036W",569.534533697531,-3.71043598880194,0.226662452414349,-16.3698748922874,3.13858465533852e-60,7.63400360013876e-58
"YKL001C",232.268741579102,-3.61441285907173,0.225539343694571,-16.0256423551823,8.46119944448005e-58,1.98180093655155e-55
"YKL060C",8776.49707903851,2.23050139406843,0.140208517539375,15.9084585816411,5.53597515316963e-57,1.25033953102303e-54
"YKR097W",379.59373939614,-4.14087364062012,0.260648450109561,-15.8868147456067,7.82015562189384e-57,1.70533324665023e-54
"YBR054W",2885.94790780646,2.40059003782981,0.153029123993434,15.687144872716,1.85200145267811e-55,3.90401906224546e-53
"YPR167C",274.576102852868,-4.08855024740572,0.263166993879665,-15.5359537574657,1.98102845144388e-54,4.04129804094551e-52
"YFR030W",727.184906262319,-3.21286810378106,0.211233924083935,-15.2100005608209,3.0354053974081e-52,5.99871991662775e-50
"YFR015C",201.353786707172,-3.91632199169106,0.260199523106218,-15.0512266315429,3.38891829643931e-51,6.49439978990369e-49
"YLL026W",5424.50109910469,-3.41308692274533,0.22680654738939,-15.0484497120166,3.53419621287331e-51,6.57360495594435e-49
"YER067C-A",1043.22278605746,-4.54518443272252,0.305786931993575,-14.8638936369525,5.65412372953762e-50,1.02161938473131e-47
"YER053C",4163.05000586528,-2.74749028308016,0.187883890198156,-14.6233414700029,1.99370228798119e-48,3.50227035255362e-46
"YKL152C",1709.61597525186,2.32490550594796,0.159615727412126,14.5656417675251,4.64600834991957e-48,7.94090724456523e-46
"YBL049W",282.464233500515,2.93765339736045,0.2022778842923,14.5228600132846,8.68112661220877e-48,1.4447222288318e-45
"YCR013C",2223.30777945056,3.17908709117733,0.219203986724054,14.502870767489,1.16187144856735e-47,1.88401924121537e-45
"YPR127W",372.730240318711,-2.54497582284359,0.177366502461012,-14.3486835875507,1.0857868161618e-46,1.71662895635181e-44
"YOL128C",196.840127728965,3.63750266958561,0.25532360727117,14.2466366837844,4.70396613749187e-46,7.2555809398777e-44
