"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPR127W",372.730240318711,-3.34518838166069,0.186177810173223,-17.9677072071493,3.48836869185449e-72,2.20604436072878e-68
"YMR173W-A",924.974513966164,-2.58709214844772,0.14641795773125,-17.66922711213,7.238177409446e-70,2.28871169686683e-66
"YBR117C",166.131584618829,-4.51460174705741,0.2561988276058,-17.6214769959986,1.68546408261266e-69,3.55295828614749e-66
"YDR085C",269.794660930485,-3.72728334750994,0.212990696375625,-17.4997472234027,1.43906403989085e-68,2.27516024706743e-65
"YEL070W",330.842499355827,-3.71072534261105,0.215696629198085,-17.2034461382486,2.50198589386733e-66,3.16451175856339e-63
"YKR075C",307.727595645931,-3.10863386638089,0.195290084481339,-15.9180322679308,4.7508443179589e-57,5.00738991112868e-54
"YMR009W",259.291805992103,-3.58856120764028,0.22629330875499,-15.8580084730904,1.23756422272018e-56,1.1180508777832e-53
"YJR152W",1299.91697434514,2.51039887400796,0.159652181084508,15.7241752474345,1.03287007773769e-55,8.16483796451643e-53
"YGR043C",386.756532288272,-3.21039036438772,0.207914399934893,-15.4409235983319,8.68476530844168e-54,6.10249509006502e-51
"YKL164C",364.105815535257,-2.48064405790849,0.163062748711838,-15.2128188535093,2.9074926512922e-52,1.83869835267719e-49
"YDR070C",1191.00197446057,-4.78692866286667,0.322781530868725,-14.830243384692,9.33937272416924e-50,5.36929028251329e-47
"YLR178C",886.757162273901,-3.41117462929681,0.230832974296964,-14.7776748087489,2.04091112677229e-49,1.075560163809e-46
"YMR105C",438.447242866132,-3.14365327221598,0.214183390755123,-14.6773905349651,8.99873670072524e-49,4.37753929964511e-46
"YDR343C",699.054581835818,-5.47685657757645,0.383852098664526,-14.2681428514555,3.45661664779583e-46,1.5614031200472e-43
"YGL055W",2398.2134319302,2.61021069991494,0.185483916219747,14.0724368619787,5.61023566230171e-45,2.3652753552264e-42
"YHL021C",295.040004905748,-2.78296160775491,0.198656786729918,-14.008892691587,1.37532623979772e-44,5.43597696280049e-42
"YDR403W",109.849636040859,-4.23218828776232,0.303828669699511,-13.9295224902508,4.1914838136589e-44,1.55923197868111e-41
"YPL265W",327.098090845967,3.75418803135181,0.276545776286082,13.5752860946542,5.61241311530779e-42,1.9718278078448e-39
"YLR092W",329.854668821024,-3.22294333824666,0.237852628163516,-13.5501691241813,7.90478051056019e-42,2.63104378677803e-39
"YBR116C",113.501437502519,-5.54920965173563,0.410089516694843,-13.5317032643507,1.01641005257162e-41,3.21388858623147e-39
"YJL052W",13754.5429438026,2.58162732044654,0.191203236445901,13.5020063908646,1.52174666929249e-41,4.58263139838367e-39
"YHR087W",402.803674681606,-3.68790369218407,0.275355677724181,-13.3932364230317,6.62306019541795e-41,1.90382875799196e-38
"YCR098C",131.882210018248,3.7091816031916,0.280727074682383,13.212767622746,7.40508044555409e-40,2.036075162508e-37
"YNR071C",1164.33268934285,-3.16676237413578,0.244297142616382,-12.9627483163343,1.98988196984996e-38,5.24333899055465e-36
"YCR012W",3935.21648897136,2.76366716806805,0.21535683030108,12.8329673324236,1.07179167702759e-37,2.71120422620899e-35
"YDL204W",809.643791319998,-2.75435168353114,0.21501991255845,-12.8097516679177,1.44596570719728e-37,3.51703351242908e-35
