"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR087C",528.551088072972,4.79869968915309,0.187546098385833,25.5867742941838,2.14117638682784e-144,1.35407994702993e-140
"YCR105W",636.517491454546,-7.28815358944014,0.317907892528902,-22.9253622219447,2.59561995400051e-116,8.20735029454961e-113
"YHR094C",676.343272017667,4.12153671940023,0.184074312159926,22.3906131770271,4.85858928729182e-111,1.02419062176112e-107
"YGR088W",725.24455131415,4.85462324150606,0.229684353173633,21.1360642308801,3.70736135816091e-99,5.8613383072524e-96
"YNR073C",1995.67888815027,-7.1726886102753,0.350021496417865,-20.49213743636,2.53036944732059e-93,3.20041127697108e-90
"YKR097W",379.59373939614,-5.25223751580287,0.257660885297974,-20.3843028394817,2.3047647888621e-92,2.42922208746065e-89
"YNR072W",923.649435463626,-4.9333571192396,0.251405018557723,-19.6231449457199,9.80926976914593e-86,8.86197457429698e-83
"YPL095C",396.512062199879,3.77903983560086,0.208387525208759,18.1346740013112,1.69702395147033e-73,1.34149743363729e-70
"YDL243C",665.424963535928,-4.37679813460657,0.249111084221899,-17.5696643458381,4.20653814116108e-69,2.95579413385585e-66
"YOR273C",434.578949886198,3.23486100963331,0.185497383171864,17.4388498334567,4.18409781307103e-68,2.64602345698612e-65
"YNL141W",208.854429826829,3.35886686452143,0.201176722104905,16.6961009672378,1.39914276820915e-62,8.04379896923149e-60
"YLR377C",422.864235546802,-4.39300067431004,0.271292296128399,-16.1928692299869,5.66254339392326e-59,2.98416036859756e-56
"YGR201C",162.431909515649,3.79244196793057,0.236741161399144,16.0193603238118,9.36082920500963e-58,4.55368337634468e-55
"YNL036W",569.534533697531,-3.41955462205001,0.226546348823743,-15.0942826481414,1.76598052248724e-51,7.97718630300664e-49
"YJL052W",13754.5429438026,2.79294212958762,0.18860169376068,14.8086799959051,1.28743764893133e-49,5.42783712789448e-47
"YPR036W-A",1393.72017806496,-3.87960365195338,0.26322550994051,-14.7387069468692,3.63681463919837e-49,1.43745098614316e-46
"YNR071C",1164.33268934285,-5.85523754454348,0.403999477684527,-14.4931809766242,1.33800139019501e-47,4.97736517152542e-45
"YMR145C",428.907120211307,-2.79034152823447,0.195241900722524,-14.2917146263603,2.46465567195162e-46,8.65915692745669e-44
"YIR019C",10125.3892944473,-3.06526737283608,0.217461840316032,-14.0956563615088,4.03875223834574e-45,1.34426679764729e-42
"YML128C",516.720825495473,2.09779471810289,0.150677238127239,13.9224394087408,4.62833489752078e-44,1.46347949459607e-41
"YHR052W-A",656.732420154121,-5.68126491473849,0.409929018590774,-13.8591430640094,1.12003401563712e-43,3.37290243566149e-41
"YDR345C",2327.68469971576,2.43302899555098,0.176883234822466,13.7550005685556,4.75276979276575e-43,1.36620528042957e-40
"YBL049W",282.464233500515,2.64229208258953,0.192711069226326,13.711158851422,8.70561994356277e-43,2.39366697926482e-40
"YBR072W",2150.63838674534,-3.94690451493846,0.293415035303001,-13.4516096316012,3.01242584075432e-41,7.93774209038763e-39
"YDR406W",658.359200959947,2.6020162587165,0.195246407875131,13.3268329340051,1.61614143057902e-40,4.0881913627927e-38
"YDR536W",260.995204852231,-3.14516407460643,0.237510224035332,-13.2422260447135,5.00432644049112e-40,1.17212445961725e-37
"YOL128C",196.840127728965,3.10650592616175,0.234556106771518,13.2441912040594,4.87505344317846e-40,1.17212445961725e-37
"YMR319C",156.31705156153,3.28572519341015,0.2486838311582,13.2124600867997,7.43540225731187e-40,1.67933870983001e-37
"YDL210W",121.427437016287,3.24800470891559,0.24595206644076,13.2058443578798,8.1184245410201e-40,1.77037644129004e-37
"YJL212C",251.527899010638,2.98740442038167,0.2275577278161,13.1281167598752,2.27237562224306e-39,4.79016781168838e-37
"YJL034W",1838.97451385234,-2.21796467039965,0.170069580239856,-13.041513169325,7.10331287801049e-39,1.44907582711414e-36
"YNR034W-A",5660.89258471014,-4.9930335263734,0.383302838803332,-13.0263411091909,8.66648710533376e-39,1.71271451419158e-36
"YLR004C",102.277552950515,3.30302965840566,0.253831171607274,13.0127030399406,1.03611182848496e-38,1.98556703131482e-36
"YHR055C",709.347433262087,-5.35430014449654,0.413512330994532,-12.9483445671837,2.40075357939689e-38,4.46540165767821e-36
"YGL117W",211.199990499667,-4.17893866859723,0.323496754190403,-12.9180234869918,3.56173576891644e-38,6.43554771503645e-36
"YDL039C",85.3390589601621,-4.44893179197594,0.345019552683832,-12.8947236681767,4.81987701047712e-38,8.46691728173815e-36
"YIL045W",325.160626613775,3.18813847212639,0.248696361753559,12.819401336018,1.2768254483155e-37,2.18233625274249e-35
"YIL155C",487.534720977372,-3.41168517724311,0.269108410389395,-12.6777352380272,7.85693439767341e-37,1.30755929291807e-34
"YPR002W",81.4229839732203,-4.05665953153762,0.32079395594247,-12.6456856695428,1.18188941053478e-36,1.91647913646717e-34
"YKR009C",128.970986410041,2.73216553368494,0.218235375811972,12.5193522063945,5.85107269806217e-36,9.2505459356363e-34
"YMR173W-A",924.974513966164,1.82298901222766,0.146875608523781,12.4117886594662,2.25556871345114e-35,3.47907720582073e-33
"YPL262W",605.956149211294,-2.42071330524709,0.199619738820397,-12.1266229459656,7.63328447439428e-34,1.14935454800165e-31
"YDR089W",138.408944582612,2.4556755068656,0.203335363652669,12.0769720660117,1.39772594563357e-33,2.05563229771784e-31
"YGR125W",1017.68375358795,1.53060682483504,0.127176800368534,12.035267599119,2.31880925266791e-33,3.33276129860725e-31
"YOR092W",324.29398254933,2.28703968212381,0.190669642541205,11.9947761565114,3.78438840675691e-33,5.31832717429572e-31
